Negeri,Daerah,Bandar,Lat,Lon
Kedah,Baling,Baling,5.6831,100.9106
Kedah,Baling,Baling,5.8149,100.8916
Kedah,Baling,Baling,5.7138,100.8009
Kedah,Baling,Baling,5.7073,100.9602
Kedah,Baling,Baling,5.6875,100.9262
Kedah,Baling,Baling,5.6914,100.8494
Kedah,Bandar Baharu,Serdang,5.2144,100.6151
Kedah,Bandar Baharu,Serdang,5.1964,100.5844
Kedah,Bandar Baharu,Serdang,5.2035,100.6273
Kedah,Bandar Baharu,Serdang,5.2455,100.6017
Kedah,Bandar Baharu,Serdang,5.2251,100.595
Kedah,Bandar Baharu,Serdang,5.2648,100.6143
Kedah,Kuala Muda,Sungai Petani,5.6552,100.5292
Kedah,Kuala Muda,Sungai Petani,5.647,100.4862
Kedah,Kuala Muda,Sungai Petani,5.6432,100.5699
Kedah,Kuala Muda,Sungai Petani,5.6519,100.549
Kedah,Kuala Muda,Sungai Petani,5.6852,100.5695
Kedah,Kuala Muda,Sungai Petani,5.6695,100.4926
Kedah,Kubang Pasu,Jitra,6.2413,100.4322
Kedah,Kubang Pasu,Jitra,6.2793,100.4203
Kedah,Kubang Pasu,Jitra,6.273,100.4583
Kedah,Kubang Pasu,Jitra,6.3288,100.478
Kedah,Kubang Pasu,Jitra,6.2683,100.4248
Kedah,Kubang Pasu,Jitra,6.2757,100.422
Kedah,Kubang Pasu,Jitra,6.3288,100.478
Kedah,Kulim,Kulim,5.3411,100.5649
Kedah,Kulim,Kulim,5.4165,100.5797
Kedah,Kulim,Kulim,5.309,100.5663
Kedah,Kulim,Kulim,5.3926,100.5367
Kedah,Kulim,Kulim,5.3683,100.5576
Kedah,Kulim,Kulim,5.3846,100.5461
Kedah,Kota Setar,Alor Setar,6.124,100.3684
Kedah,Kota Setar,Alor Setar,6.1281,100.3433
Kedah,Kota Setar,Alor Setar,6.1609,100.3634
Kedah,Kota Setar,Alor Setar,6.1205,100.3684
Kedah,Kota Setar,Alor Setar,6.1512,100.3475
Kedah,Kota Setar,Alor Setar,6.1085,100.3547
Kedah,Langkawi,Langkawi,6.346,99.7904
Kedah,Langkawi,Langkawi,6.3311,99.8313
Kedah,Langkawi,Langkawi,6.285,99.7472
Kedah,Langkawi,Langkawi,6.3918,99.7166
Kedah,Langkawi,Langkawi,6.3406,99.7838
Kedah,Langkawi,Langkawi,6.3613,99.7897
Kedah,Padang Terap,Kuala Nerang,6.2465,100.57771
Kedah,Padang Terap,Kuala Nerang,6.2692,100.6245
Kedah,Padang Terap,Kuala Nerang,6.1984,100.7522
Kedah,Padang Terap,Kuala Nerang,6.2803,100.5442
Kedah,Padang Terap,Kuala Nerang,6.201,100.718
Kedah,Padang Terap,Kuala Nerang,6.2296,100.6219
Kedah,Pendang,Pendang,5.9717,100.5149
Kedah,Pendang,Pendang,6.0218,100.481
Kedah,Pendang,Pendang,5.9588,100.4771
Kedah,Pendang,Pendang,5.9962,100.6077
Kedah,Pendang,Pendang,6.0255,100.5213
Kedah,Pendang,Pendang,6.0326,100.5413
Kedah,Pokok Sena,Pokok Sena,6.103,100.6163
Kedah,Pokok Sena,Pokok Sena,6.2139,100.5109
Kedah,Pokok Sena,Pokok Sena,6.1091,100.7172
Kedah,Pokok Sena,Pokok Sena,6.0494,100.6156
Kedah,Pokok Sena,Pokok Sena,6.1585,100.5013
Kedah,Pokok Sena,Pokok Sena,6.1176,100.6276
Kedah,Sik,Sik,5.9903,100.8149
Kedah,Sik,Sik,6.0098,100.7514
Kedah,Sik,Sik,5.9835,100.6944
Kedah,Sik,Sik,5.7513,100.726
Kedah,Sik,Sik,5.8261,100.7296
Kedah,Sik,Sik,6.0347,100.7271
Kedah,Yan,Yan,5.7855,100.3724
Kedah,Yan,Yan,5.8398,100.3849
Kedah,Yan,Yan,5.8398,100.4161
Kedah,Yan,Yan,5.8744,100.4222
Kedah,Yan,Yan,5.8544,100.4091
Kedah,Yan,Yan,5.821,100.3878
Perlis,Arau,Arau,6.433,100.2604
Perlis,Arau,Arau,6.4256,100.2893
Perlis,Arau,Arau,6.3906,100.2511
Perlis,Arau,Arau,6.4399,100.3308
Perlis,Arau,Arau,6.4345,100.3142
Perlis,Arau,Arau,6.4311,100.2531
Perlis,Kangar,Kangar,6.4396,100.1926
Perlis,Kangar,Kangar,6.4497,100.1981
Perlis,Kangar,Kangar,6.4465,100.203
Perlis,Kangar,Kangar,6.462,100.1685
Perlis,Kangar,Kangar,6.5106,100.2535
Perlis,Kangar,Kangar,6.4416,100.1922
Perlis,Padang Besar,Padang Besar,6.6605,100.3115
Perlis,Padang Besar,Padang Besar,6.6999,100.2097
Perlis,Padang Besar,Padang Besar,6.6551,100.2802
Perlis,Padang Besar,Padang Besar,6.6624,100.2852
Perlis,Padang Besar,Padang Besar,6.6325,100.2721
Perlis,Padang Besar,Padang Besar,6.6543,100.2545
Perlis,Kuala Perlis,Kuala Perlis,6.3968,100.1296
Perlis,Kuala Perlis,Kuala Perlis,6.4056,100.1464
Perlis,Kuala Perlis,Kuala Perlis,6.4151,100.1492
Perlis,Kuala Perlis,Kuala Perlis,6.3919,100.1603
Perlis,Kuala Perlis,Kuala Perlis,6.3865,100.1469
Perlis,Kuala Perlis,Kuala Perlis,6.4072,100.1491
Perak,Batang Padang,Tapah,4.1963,101.2591
Perak,Batang Padang,Tapah,4.1898,101.2617
Perak,Batang Padang,Tapah,4.2088,101.2566
Perak,Batang Padang,Tapah,4.1887,101.2652
Perak,Batang Padang,Tapah,4.2124,101.2381
Perak,Batang Padang,Tapah,4.2141,101.2914
Perak,Hilir Perak,Teluk Intan,4.0183,101.0063
Perak,Hilir Perak,Teluk Intan,4.0486,101.0312
Perak,Hilir Perak,Teluk Intan,3.9979,101.015
Perak,Hilir Perak,Teluk Intan,4.003,101.0362
Perak,Hilir Perak,Teluk Intan,4.0796,100.9675
Perak,Hilir Perak,Teluk Intan,4.0536,101.047
Perak,Hulu Perak,Gerik,5.4456,101.1119
Perak,Hulu Perak,Gerik,5.4763,101.1772
Perak,Hulu Perak,Lenggong,5.171,100.928
Perak,Hulu Perak,Lenggong,5.1013,100.971
Perak,Hulu Perak,Lenggong,5.1382,100.9667
Perak,Hulu Perak,Lenggong,5,100.97
Perak,Hulu Perak,Lenggong,5.282,101.03
Perak,Hulu Perak,Lenggong,5.309,101.113
Perak,Hulu Perak,Gerik,5.3902,101.1826
Perak,Hulu Perak,Gerik,5.3601,101.1469
Perak,Hulu Perak,Gerik,5.4928,101.149
Perak,Hulu Perak,Gerik,5.3848,101.1092
Perak,Kampar,Kampar,4.2006,101.1533
Perak,Kampar,Kampar,4.3239,101.1437
Perak,Kampar,Kampar,4.2862,101.145
Perak,Kampar,Kampar,4.2417,101.1396
Perak,Kampar,Kampar,4.2707,101.1338
Perak,Kampar,Kampar,4.3144,101.142
Perak,Kerian,Parit Buntar,5.1251,100.4892
Perak,Kerian,Parit Buntar,5.1149,100.477
Perak,Kerian,Parit Buntar,5.1057,100.489
Perak,Kerian,Parit Buntar,5.1169,100.4626
Perak,Kerian,Parit Buntar,5.1078,100.4891
Perak,Kerian,Parit Buntar,5.1281,100.4831
Perak,Kinta,Ipoh,4.628,101.0969
Perak,Kinta,Ipoh,4.6654,101.095
Perak,Kinta,Ipoh,4.5977,101.1074
Perak,Kinta,Ipoh,4.6517,101.0727
Perak,Kinta,Ipoh,4.6227,101.0675
Perak,Kinta,Ipoh,4.5969,101.0753
Perak,Kuala Kangsar,Kuala Kangsar,4.7668,100.9476
Perak,Kuala Kangsar,Kuala Kangsar,4.7701,100.9311
Perak,Kuala Kangsar,Kuala Kangsar,4.7821,100.9343
Perak,Kuala Kangsar,Kuala Kangsar,4.7704,100.916
Perak,Kuala Kangsar,Kuala Kangsar,4.7501,100.9336
Perak,Kuala Kangsar,Kuala Kangsar,4.7873,100.956
Perak,Larut; Matang & Selama,Taiping,4.8495,100.7405
Perak,Larut; Matang & Selama,Taiping,4.8584,100.7396
Perak,Larut; Matang & Selama,Taiping,4.8533,100.7335
Perak,Larut; Matang & Selama,Taiping,4.8636,100.733
Perak,Larut; Matang & Selama,Taiping,4.8849,100.7326
Perak,Larut; Matang & Selama,Taiping,4.8434,100.7087
Perak,Manjung,Seri Manjung,4.1809,100.6397
Perak,Manjung,Seri Manjung,4.1962,100.6646
Perak,Manjung,Seri Manjung,4.2144,100.6685
Perak,Manjung,Seri Manjung,4.1845,100.6643
Perak,Manjung,Seri Manjung,4.2197,100.6703
Perak,Manjung,Seri Manjung,4.1924,100.6569
Perak,Muallim,Tanjung Malim,3.7046,101.5054
Perak,Muallim,Tanjung Malim,3.6936,101.5202
Perak,Muallim,Tanjung Malim,3.6857,101.5265
Perak,Muallim,Tanjung Malim,3.7025,101.5105
Perak,Muallim,Tanjung Malim,3.8027,101.5012
Perak,Muallim,Tanjung Malim,3.8348,101.4085
Perak,Perak Tengah,Seri Iskandar,4.3657,100.9592
Perak,Perak Tengah,Seri Iskandar,4.3533,100.961
Perak,Perak Tengah,Seri Iskandar,4.3637,100.9811
Perak,Perak Tengah,Seri Iskandar,4.3684,100.9589
Perak,Perak Tengah,Seri Iskandar,4.3646,100.9834
Perak,Perak Tengah,Seri Iskandar,4.366,100.9546
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3765,100.2203
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3593,100.2107
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3404,100.2368
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3346,100.2282
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3415,100.2141
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3494,100.2327
Penang,Seberang Perai Selatan,Sungai Jawi,5.2625,100.5106
Penang,Seberang Perai Selatan,Sungai Jawi,5.1819,100.481
Penang,Seberang Perai Selatan,Sungai Jawi,5.1538,100.4831
Penang,Seberang Perai Selatan,Sungai Jawi,5.2673,100.4522
Penang,Seberang Perai Selatan,Sungai Jawi,5.2347,100.5085
Penang,Seberang Perai Selatan,Sungai Jawi,5.2759,100.4831
Penang,Seberang Perai Tengah,Bukit Mertajam,5.3486,100.4835
Penang,Seberang Perai Tengah,Bukit Mertajam,5.3749,100.4667
Penang,Seberang Perai Tengah,Bukit Mertajam,5.3739,100.4214
Penang,Seberang Perai Tengah,Bukit Mertajam,5.341,100.5134
Penang,Seberang Perai Tengah,Bukit Mertajam,5.3656,100.4466
Penang,Seberang Perai Tengah,Bukit Mertajam,5.3594,100.4634
Penang,Seberang Perai Utara,Kepala Batas,5.517,100.4488
Penang,Seberang Perai Utara,Kepala Batas,5.5351,100.4649
Penang,Seberang Perai Utara,Kepala Batas,5.5023,100.4464
Penang,Seberang Perai Utara,Kepala Batas,5.4777,100.4389
Penang,Seberang Perai Utara,Kepala Batas,5.5261,100.465
Penang,Seberang Perai Utara,Kepala Batas,5.5149,100.434
Penang,Timur Laut Pulau Pinang,George Town,5.4271,100.3056
Penang,Timur Laut Pulau Pinang,George Town,5.3977,100.3018
Penang,Timur Laut Pulau Pinang,George Town,5.4182,100.3276
Penang,Timur Laut Pulau Pinang,George Town,5.3844,100.3046
Penang,Timur Laut Pulau Pinang,George Town,5.4178,100.3204
Penang,Timur Laut Pulau Pinang,George Town,5.4145,100.3129
Selangor,Gombak,Rawang,3.3004,101.6403
Selangor,Gombak,Rawang,3.2826,101.5263
Selangor,Gombak,Rawang,3.2394,101.5407
Selangor,Gombak,Rawang,3.2638,101.6843
Selangor,Gombak,Rawang,3.3192,101.5745
Selangor,Hulu Langat,Hulu Langat,3.1997,101.8567
Selangor,Hulu Langat,Hulu Langat,3.1593,101.8911
Selangor,Hulu Langat,Hulu Langat,3.1284,101.8279
Selangor,Hulu Langat,Hulu Langat,3.0904,101.7935
Selangor,Hulu Langat,Hulu Langat,3.1355,101.8349
Selangor,Hulu Selangor,Kuala Kubu Baru,3.5617,101.6572
Selangor,Hulu Selangor,Kuala Kubu Baru,3.5621,101.6588
Selangor,Hulu Selangor,Kuala Kubu Baru,3.5635,101.6607
Selangor,Hulu Selangor,Kuala Kubu Baru,3.5628,101.656
Selangor,Hulu Selangor,Kuala Kubu Baru,3.5736,101.6729
Selangor,Klang,Klang,3.0239,101.4591
Selangor,Klang,Klang,3.0426,101.4208
Selangor,Klang,Klang,3.0534,101.4678
Selangor,Klang,Klang,3.0693,101.4247
Selangor,Klang,Klang,3.0453,101.4449
Selangor,Kuala Langat,Banting,2.8002,101.501
Selangor,Kuala Langat,Banting,2.8866,101.5449
Selangor,Kuala Langat,Banting,2.936,101.4941
Selangor,Kuala Langat,Banting,2.877,101.3142
Selangor,Kuala Langat,Banting,2.815,101.5061
Selangor,Kuala Selangor,Kuala Selangor,3.3494,101.2847
Selangor,Kuala Selangor,Kuala Selangor,3.3574,101.3154
Selangor,Kuala Selangor,Kuala Selangor,3.3355,101.2976
Selangor,Kuala Selangor,Kuala Selangor,3.3884,101.2557
Selangor,Kuala Selangor,Kuala Selangor,3.3322,101.2501
Selangor,Petaling,Shah Alam,3.1061,101.56
Selangor,Petaling,Shah Alam,3.1349,101.5051
Selangor,Petaling,Shah Alam,3.0046,101.5669
Selangor,Petaling,Shah Alam,3.1198,101.6369
Selangor,Petaling,Shah Alam,3.0584,101.4939
Selangor,Petaling,Shah Alam,3.047,101.543
Selangor,Petaling,Shah Alam,3.092206,101.4864
Selangor,Petaling,Shah Alam,3.1064,101.515
Selangor,Petaling,Shah Alam,3.0415,101.521
Selangor,Petaling,Sg Buloh,3.1979,101.5406
Selangor,Petaling,Sg Buloh,3.1973,101.579
Selangor,Petaling,Sg Buloh,3.1733,101.5449
Selangor,Petaling,Sg Buloh,3.231,101.552
Selangor,Petaling,Sg Buloh,3.205,101.499
Selangor,Petaling,Damansara,3.1419,101.575
Selangor,Petaling,Damansara,3.1217,101.612
Selangor,Petaling,Damansara,3.1604,101.599
Selangor,Petaling,Damansara,3.1229,101.556
Selangor,Petaling,Damansara,3.158,101.6033
Selangor,Sepang,Sepang,2.8062,101.7149
Selangor,Sepang,Sepang,2.7664,101.7417
Selangor,Sepang,Sepang,2.7047,101.7334
Selangor,Sepang,Sepang,2.8295,101.7163
Selangor,Sepang,Sepang,2.6884,101.7502
Selangor,Sabak Bernam,Sabak Bernam,3.5526,101.163
Selangor,Sabak Bernam,Sabak Bernam,3.7801,101.0219
Selangor,Sabak Bernam,Sabak Bernam,3.7112,101.0016
Selangor,Sabak Bernam,Sabak Bernam,3.6468,101.299
Selangor,Sabak Bernam,Sabak Bernam,3.7626,100.9878
N.Sembilan,Jelebu,Kuala Klawang,2.927,102.1048
N.Sembilan,Jelebu,Kuala Klawang,2.9702,102.1886
N.Sembilan,Jelebu,Kuala Klawang,2.8619,102.0959
N.Sembilan,Jelebu,Kuala Klawang,2.9538,102.0413
N.Sembilan,Jelebu,Kuala Klawang,2.9652,102.1087
N.Sembilan,Jelebu,Kuala Klawang,2.9505,102.0854
N.Sembilan,Jempol,Bahau / Jempol,2.8037,102.4204
N.Sembilan,Jempol,Bahau / Jempol,2.7784,102.3903
N.Sembilan,Jempol,Bahau / Jempol,2.8482,102.375
N.Sembilan,Jempol,Bahau / Jempol,2.8215,102.4428
N.Sembilan,Jempol,Bahau / Jempol,2.8097,102.402
N.Sembilan,Jempol,Bahau / Jempol,2.8075,102.4002
N.Sembilan,Kuala Pilah,Kuala Pilah,2.6997,102.2345
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7302,102.298
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7662,102.2311
N.Sembilan,Kuala Pilah,Kuala Pilah,2.8242,102.2675
N.Sembilan,Kuala Pilah,Kuala Pilah,2.741,102.2438
N.Sembilan,Kuala Pilah,Kuala Pilah,2.7454,102.2468
N.Sembilan,Port Dickson,Lukut,2.5887,101.8439
N.Sembilan,Port Dickson,Lukut,2.5315,101.8406
N.Sembilan,Port Dickson,Lukut,2.6315,101.7863
N.Sembilan,Port Dickson,Lukut,2.4683,101.866
N.Sembilan,Port Dickson,Lukut,2.571,101.8306
N.Sembilan,Port Dickson,Lukut,2.5602,101.8128
N.Sembilan,Rembau,Rembau,2.5854,102.1607
N.Sembilan,Rembau,Rembau,2.5504,102.0763
N.Sembilan,Rembau,Rembau,2.6018,102.1113
N.Sembilan,Rembau,Rembau,2.5127,102.0687
N.Sembilan,Rembau,Rembau,2.5905,102.0933
N.Sembilan,Rembau,Rembau,2.592,102.0989
N.Sembilan,Seremban,Seremban,2.6966,102.0411
N.Sembilan,Seremban,Seremban,2.6994,101.9127
N.Sembilan,Seremban,Seremban,2.6434,102.0161
N.Sembilan,Seremban,Seremban,2.7529,101.9773
N.Sembilan,Seremban,Seremban,2.7226,101.9415
N.Sembilan,Seremban,Seremban,2.7201,101.9409
Melaka,Tampin,Tampin,2.472,102.2541
Melaka,Tampin,Tampin,2.4974,102.2743
Melaka,Tampin,Tampin,2.5073,102.2273
Melaka,Tampin,Tampin,2.5257,102.2376
Melaka,Tampin,Tampin,2.4682,102.2305
Melaka,Tampin,Tampin,2.4693,102.221
Melaka,Alor Gajah,Alor Gajah,2.4007,102.2874
Melaka,Alor Gajah,Alor Gajah,2.4473,102.2201
Melaka,Alor Gajah,Alor Gajah,2.3876,102.2915
Melaka,Alor Gajah,Alor Gajah,2.4624,102.2023
Melaka,Alor Gajah,Alor Gajah,2.3819,102.2102
Melaka,Alor Gajah,Alor Gajah,2.3782,102.2088
Melaka,Jasin,Jasin,2.2546,102.4441
Melaka,Jasin,Jasin,2.3191,102.3501
Melaka,Jasin,Jasin,2.315,102.4517
Melaka,Jasin,Jasin,2.3253,102.3707
Melaka,Jasin,Jasin,2.3055,102.4225
Melaka,Jasin,Jasin,2.3057,102.4229
Melaka,Melaka Tengah,Melaka Tengah,2.2543,102.211
Melaka,Melaka Tengah,Melaka Tengah,2.2632,102.2879
Melaka,Melaka Tengah,Melaka Tengah,2.1946,102.3154
Melaka,Melaka Tengah,Melaka Tengah,2.2817,102.1684
Melaka,Melaka Tengah,Melaka Tengah,2.2718,102.286
Melaka,Melaka Tengah,Melaka Tengah,2.2573,102.2788
Pahang,Bentong,Bentong,3.5665,101.972
Pahang,Bentong,Bentong,3.3636,101.983
Pahang,Bentong,Bentong,3.2101,102.1643
Pahang,Bentong,Bentong,3.2841,102.222
Pahang,Bentong,Bentong,3.5253,101.9043
Pahang,Bentong,Bentong,3.5269,101.9068
Pahang,Bera,Bandar Bera,3.1845,102.4674
Pahang,Bera,Bandar Bera,3.0255,102.6762
Pahang,Bera,Bandar Bera,3.2229,102.3686
Pahang,Bera,Bandar Bera,3.3655,102.5691
Pahang,Bera,Bandar Bera,3.2715,102.4524
Pahang,Bera,Bandar Bera,3.2453,102.413
Pahang,Cameron Highlands,Tanah Rata,4.4943,101.4454
Pahang,Cameron Highlands,Tanah Rata,4.4163,101.4736
Pahang,Cameron Highlands,Tanah Rata,4.482,101.5574
Pahang,Cameron Highlands,Tanah Rata,4.5207,101.3981
Pahang,Cameron Highlands,Tanah Rata,4.4676,101.3892
Pahang,Cameron Highlands,Tanah Rata,4.4888,101.3765
Pahang,Jerantut,Jerantut,3.9943,102.4137
Pahang,Jerantut,Jerantut,4.0135,102.2146
Pahang,Jerantut,Jerantut,3.8559,102.3629
Pahang,Jerantut,Kuala Tahan,4.317,102.44
Pahang,Jerantut,Kuala Tahan,4.3132,102.376
Pahang,Jerantut,Kuala Tahan,4.356,102.4183
Pahang,Jerantut,Kuala Tahan,4.3432,102.378
Pahang,Jerantut,Kuala Tahan,4.4032,102.379
Pahang,Jerantut,Jerantut,3.9806,102.5263
Pahang,Jerantut,Jerantut,3.9382,102.3605
Pahang,Jerantut,Jerantut,3.9315,102.3622
Pahang,Kuantan,Kuantan,3.8688,103.168
Pahang,Kuantan,Kuantan,3.803,103.2339
Pahang,Kuantan,Kuantan,3.729,103.2477
Pahang,Kuantan,Kuantan,3.8318,103.3122
Pahang,Kuantan,Kuantan,3.793,103.1659
Pahang,Kuantan,Kuantan,3.7831,103.2358
Pahang,Lipis,Lipis,4.2476,102.0838
Pahang,Lipis,Lipis,4.0969,102.1964
Pahang,Lipis,Lipis,4.2421,101.7062
Pahang,Lipis,Lipis,4.4365,101.9135
Pahang,Lipis,Lipis,4.182,102.0532
Pahang,Lipis,Lipis,4.1735,102.0437
Pahang,Maran,Maran,3.5411,102.7734
Pahang,Maran,Maran,3.6595,102.8808
Pahang,Maran,Maran,3.5217,102.6906
Pahang,Maran,Maran,3.5149,102.8307
Pahang,Maran,Maran,3.5838,102.7836
Pahang,Maran,Maran,3.582,102.7724
Pahang,Pekan,Pekan,3.1067,103.4038
Pahang,Pekan,Pekan,3.2184,103.4196
Pahang,Pekan,Pekan,3.4878,103.3633
Pahang,Pekan,Pekan,3.5879,103.3496
Pahang,Pekan,Pekan,3.4892,103.3898
Pahang,Pekan,Pekan,3.5022,103.3817
Pahang,Raub,Raub,3.9023,101.8093
Pahang,Raub,Raub,3.8571,101.9041
Pahang,Raub,Raub,3.7269,101.8313
Pahang,Raub,Raub,4.0502,101.775
Pahang,Raub,Raub,3.7956,101.8555
Pahang,Raub,Raub,3.808,101.8472
Pahang,Rompin,Rompin,2.7158,103.5037
Pahang,Rompin,Rompin,2.7497,103.055
Pahang,Rompin,Rompin,3.1474,102.849
Pahang,Rompin,Rompin,2.618,103.6015
Pahang,Rompin,Rompin,2.7085,102.5053
Pahang,Rompin,Tun Razak,2.968676,103.005104
Pahang,Rompin,Tun Razak,2.892305,103.008745
Pahang,Rompin,Rompin,2.869033,103.2351
Pahang,Rompin,Rompin,2.884386,103.267
Pahang,Rompin,Rompin,2.8807,103.219
Pahang,Rompin,Rompin,2.91805,103.226541
Pahang,Rompin,Tun Razak,3.0028,102.928633
Pahang,Rompin,Tun Razak,3.0104,103.0136
Pahang,Rompin,Rompin,2.6946,102.5257
Pahang,Temerloh,Temerloh,3.4409,102.4912
Pahang,Temerloh,Temerloh,3.3829,102.4452
Pahang,Temerloh,Temerloh,3.4487,102.3947
Pahang,Temerloh,Temerloh,3.5413,102.4407
Pahang,Temerloh,Temerloh,3.4475,102.4189
