Negeri,Daerah,Bandar,Lat,Lon
Pahang,Temerloh,Temerloh,3.4508,102.4188
Pahang,Temerloh,Temerloh,3.4475,102.4189
Terengganu,Besut,Jerteh,5.6143,102.5593
Terengganu,Besut,Jerteh,5.6935,102.5263
Terengganu,Besut,Jerteh,5.7455,102.5593
Terengganu,Besut,Jerteh,5.5897,102.5785
Terengganu,Dungun,Dungun,4.7962,103.368
Terengganu,Dungun,Dungun,4.73333,103.403
Terengganu,Dungun,Dungun,4.7189,103.3481
Terengganu,Dungun,Dungun,4.8024,103.2513
Terengganu,Hulu Terengganu,Kuala Berang,5.1014,102.8963
Terengganu,Hulu Terengganu,Kuala Berang,5.152,102.9704
Terengganu,Hulu Terengganu,Kuala Berang,5.1766,102.829
Terengganu,Hulu Terengganu,Kuala Berang,5.2655,102.8949
Terengganu,Kemaman,Chukai,4.2366,103.3029
Terengganu,Kemaman,Chukai,4.3749,103.329
Terengganu,Kemaman,Chukai,4.2846,103.3475
Terengganu,Kemaman,Chukai,4.1729,103.2603
Terengganu,Kuala Nerus,Gong Badak,5.3656,103.0888
Terengganu,Kuala Nerus,Gong Badak,5.3707,103.0531
Terengganu,Kuala Nerus,Gong Badak,5.3748,103.1084
Terengganu,Kuala Nerus,Gong Badak,5.3765,103.038
Terengganu,Kuala Terengganu,Kuala Terengganu,5.237,102.9944
Terengganu,Kuala Terengganu,Kuala Terengganu,5.4065,103.0342
Terengganu,Kuala Terengganu,Kuala Terengganu,5.2849,103.1386
Terengganu,Kuala Terengganu,Kuala Terengganu,5.1878,103.0466
Terengganu,Marang,Marang,5.1419,103.1551
Terengganu,Marang,Marang,5.0941,103.2238
Terengganu,Marang,Marang,4.9545,103.2568
Terengganu,Marang,Marang,4.949,103.335
Terengganu,Setiu,Bandar Permaisuri,5.5172,102.7597
Terengganu,Setiu,Bandar Permaisuri,5.4687,102.8494
Terengganu,Setiu,Bandar Permaisuri,5.4445,102.835
Terengganu,Setiu,Bandar Permaisuri,5.5305,102.7558
Kelantan,Bachok,Bachok,6.0291,102.399
Kelantan,Bachok,Bachok,5.9643,102.432
Kelantan,Bachok,Bachok,5.9253,102.4292
Kelantan,Bachok,Bachok,5.9745,102.3956
Kelantan,Gua Musang,Gua Musang,4.8685,101.9528
Kelantan,Gua Musang,Gua Musang,4.939,101.9624
Kelantan,Gua Musang,Gua Musang,4.8049,102.0139
Kelantan,Gua Musang,Gua Musang,4.8364,101.8697
Kelantan,Jeli,Jeli,5.7054,101.8576
Kelantan,Jeli,Jeli,5.6217,101.8482
Kelantan,Jeli,Jeli,5.5684,101.8977
Kelantan,Jeli,Jeli,5.716,101.8345
Kelantan,Kota Bharu,Kota Bharu,6.1383,102.3051
Kelantan,Kota Bharu,Kota Bharu,6.0591,102.3305
Kelantan,Kota Bharu,Kota Bharu,6.0984,102.3834
Kelantan,Kota Bharu,Kota Bharu,6.099,102.2529
Kelantan,Kuala Krai,Kuala Krai,5.4841,102.2662
Kelantan,Kuala Krai,Kuala Krai,5.4253,102.3198
Kelantan,Kuala Krai,Kuala Krai,5.6262,102.1598
Kelantan,Kuala Krai,Kuala Krai,5.594,102.2736
Kelantan,Lojing,Lojing,4.7919,101.9418
Kelantan,Lojing,Lojing,4.5966,101.4329
Kelantan,Lojing,Lojing,4.5978,101.4319
Kelantan,Lojing,Lojing,4.5987,101.4314
Kelantan,Machang,Machang,5.7593,102.25
Kelantan,Machang,Machang,5.8129,102.2596
Kelantan,Machang,Machang,5.7644,102.182
Kelantan,Machang,Machang,5.7436,102.2418
Kelantan,Pasir Mas,Pasir Mas,6.0174,102.1169
Kelantan,Pasir Mas,Pasir Mas,5.9573,102.1924
Kelantan,Pasir Mas,Pasir Mas,5.93,102.0853
Kelantan,Pasir Mas,Pasir Mas,6.0953,102.1017
Kelantan,Pasir Puteh,Pasir Puteh,5.8006,102.4117
Kelantan,Pasir Puteh,Pasir Puteh,5.8881,102.3897
Kelantan,Pasir Puteh,Pasir Puteh,5.8963,102.4556
Kelantan,Pasir Puteh,Pasir Puteh,5.7806,102.3521
Kelantan,Tanah Merah,Tanah Merah,5.8106,102.089
Kelantan,Tanah Merah,Tanah Merah,5.8946,102.0993
Kelantan,Tanah Merah,Tanah Merah,5.7627,102.1096
Kelantan,Tanah Merah,Tanah Merah,5.844,101.9557
Kelantan,Tumpat,Tumpat,6.2273,102.0956
Kelantan,Tumpat,Tumpat,6.1453,102.1526
Kelantan,Tumpat,Tumpat,6.1781,102.2227
Kelantan,Tumpat,Tumpat,6.2081,102.1114
Johor,Batu Pahat,Batu Pahat,1.9544,102.855
Johor,Batu Pahat,Batu Pahat,1.8391,103.1269
Johor,Batu Pahat,Batu Pahat,1.8659,103.1578
Johor,Batu Pahat,Batu Pahat,1.919,102.92
Johor,Batu Pahat,Batu Pahat,1.862,103.092
Johor,Batu Pahat,Batu Pahat,1.741,103.044
Johor,Batu Pahat,Batu Pahat,1.853,102.936
Johor,Johor Bahru,Johor Bahru,1.4975,103.6163
Johor,Johor Bahru,Johor Bahru,1.5187,103.7571
Johor,Johor Bahru,Johor Bahru,1.5675,103.77166
Johor,Johor Bahru,Johor Bahru,1.4645,103.7447
Johor,Kluang,Kluang,1.9862,103.3282
Johor,Kluang,Kluang,2.0696,103.344
Johor,Kluang,Kluang,2.0248,103.3218
Johor,Kluang,Kluang,2.043,103.3203
Johor,Kluang,Kluang,1.9943,103.264
Johor,Kluang,Kluang,1.99,103.362
Johor,Kluang,Kluang,2.104,103.454
Johor,Kota Tinggi,Kota Tinggi,1.7148,103.8964
Johor,Kota Tinggi,Kota Tinggi,1.7891,103.9102
Johor,Kota Tinggi,Kota Tinggi,1.7568,103.8806
Johor,Kota Tinggi,Kota Tinggi,1.7405,103.9107
Johor,Kulai,Kulai,1.6484,103.6006
Johor,Kulai,Kulai,1.6809,103.5848
Johor,Kulai,Kulai,1.6331,103.6003
Johor,Kulai,Kulai,1.6632,103.6013
Johor,Tangkak,Tangkak,2.2693,102.5338
Johor,Tangkak,Tangkak,2.2698,102.5325
Johor,Tangkak,Tangkak,2.2715,102.5518
Johor,Tangkak,Tangkak,2.2875,102.5507
Johor,Mersing,Mersing,2.4299,103.8459
Johor,Mersing,Mersing,2.4165,103.8315
Johor,Mersing,Mersing,2.3945,103.8626
Johor,Mersing,Mersing,2.4775,103.8173
Johor,Muar,Muar,2.0708,102.578
Johor,Muar,Muar,2.087,102.5867
Johor,Muar,Muar,2.052,102.6144
Johor,Muar,Muar,2.0389,102.5707
Johor,Muar,Pagoh,2.1275,102.713236
Johor,Muar,Pagoh,2.10214,102.716
Johor,Muar,Pagoh,2.113,102.78
Johor,Muar,Pagoh,2.1378,102.772
Johor,Muar,Pagoh,2.17,102.767
Johor,Pontian,Pontian,1.4666,103.4566
Johor,Pontian,Pontian,1.489,103.4822
Johor,Pontian,Pontian,1.4873,103.5587
Johor,Pontian,Pontian,1.5237,103.4241
Johor,Segamat,Segamat,2.3814,102.9532
Johor,Segamat,Segamat,2.6305,102.7172
Johor,Segamat,Segamat,2.5314,102.7103
Johor,Segamat,Segamat,2.6021,102.8366
WP,Kuala Lumpur,Kuala Lumpur,3.1464,101.6996
WP,Kuala Lumpur,Kuala Lumpur,3.156,101.7176
WP,Kuala Lumpur,Kuala Lumpur,3.183,101.6755
WP,Kuala Lumpur,Kuala Lumpur,3.117,101.6682
WP,Putrajaya,Putrajaya,2.9229,101.7022
WP,Putrajaya,Putrajaya,2.9335,101.6729
WP,Putrajaya,Putrajaya,2.9673,101.6965
WP,Putrajaya,Putrajaya,2.9083,101.6787
WP,Labuan,Labuan,5.2829,115.2465
WP,Labuan,Labuan,5.2891,115.1969
WP,Labuan,Labuan,5.3318,115.2339
WP,Labuan,Labuan,5.2937,115.2441
Sabah,Beaufort,Beaufort,5.2785,115.7155
Sabah,Beaufort,Beaufort,5.3988,115.8851
Sabah,Beaufort,Beaufort,5.1752,115.6558
Sabah,Beaufort,Beaufort,5.2901,115.7389
Sabah,Beluran,Beluran,5.724,117.0953
Sabah,Beluran,Beluran,5.7008,117.2422
Sabah,Beluran,Beluran,5.8887,117.4215
Sabah,Beluran,Beluran,5.7951,117.5306
Sabah,Keningau,Keningau,5.375,116.1947
Sabah,Keningau,Keningau,5.1316,116.1109
Sabah,Keningau,Keningau,5.2027,116.3828
Sabah,Keningau,Keningau,5.0837,116.2592
Sabah,Kinabatangan,Kinabatangan,5.3412,116.9476
Sabah,Kinabatangan,Kinabatangan,5.5654,117.354
Sabah,Kinabatangan,Kinabatangan,5.4451,117.8265
Sabah,Kinabatangan,Kinabatangan,5.4069,118.4307
Sabah,Kota Belut,Kota Belut,6.3491,116.4742
Sabah,Kota Belut,Kota Belut,6.4494,116.4619
Sabah,Kota Belut,Kota Belut,6.3511,116.556
Sabah,Kota Belut,Kota Belut,6.3825,116.4475
Sabah,Kota Kinabalu,Kota Kinabalu,5.9587,116.0825
Sabah,Kota Kinabalu,Kota Kinabalu,6.0257,116.1522
Sabah,Kota Kinabalu,Kota Kinabalu,6.0998,116.179
Sabah,Kota Kinabalu,Kota Kinabalu,6.0943,116.1429
Sabah,Kota Marudu,Kota Marudu,6.7827,117.1405
Sabah,Kota Marudu,Kota Marudu,6.4717,116.8329
Sabah,Kota Marudu,Kota Marudu,6.6491,116.7299
Sabah,Kota Marudu,Kota Marudu,6.6682,117.1927
Sabah,Kuala Penyu,Kuala Penyu,5.4317,115.4671
Sabah,Kuala Penyu,Kuala Penyu,5.4501,115.5368
Sabah,Kuala Penyu,Kuala Penyu,5.486,115.5889
Sabah,Kuala Penyu,Kuala Penyu,5.5414,115.5594
Sabah,Kuala Penyu,Kuala Penyu,5.5575,115.5686
Sabah,Kuala Penyu,Kuala Penyu,5.5689,115.5961
Sabah,Kudat,Kudat,6.7424,116.7502
Sabah,Kudat,Kudat,6.9244,116.7097
Sabah,Kudat,Kudat,6.7969,116.6665
Sabah,Kudat,Kudat,6.8433,116.8251
Sabah,Kudat,Kudat,6.8835,116.8499
Sabah,Kudat,Kudat,6.9067,116.8405
Sabah,Kunak,Kunak,4.7209,118.0433
Sabah,Kunak,Kunak,4.7517,117.9011
Sabah,Kunak,Kunak,4.7989,118.0694
Sabah,Kunak,Kunak,4.647,118.1724
Sabah,Kunak,Kunak,4.6842,118.2448
Sabah,Kunak,Kunak,4.6795,118.234
Sabah,Lahad Datu,Lahad Datu,5.0568,118.5361
Sabah,Lahad Datu,Lahad Datu,5.1867,119.0566
Sabah,Lahad Datu,Lahad Datu,5.1293,117.7492
Sabah,Lahad Datu,Lahad Datu,5.0896,118.2107
Sabah,Lahad Datu,Lahad Datu,5.0256,118.3282
Sabah,Lahad Datu,Lahad Datu,5.0274,118.3169
Sabah,Nabawan,Nabawan,5.0399,116.4458
Sabah,Nabawan,Nabawan,5.0539,116.508
Sabah,Nabawan,Nabawan,5.0542,116.3494
Sabah,Nabawan,Nabawan,4.9674,116.452
Sabah,Nabawan,Nabawan,5.045,116.4349
Sabah,Nabawan,Nabawan,5.0409,116.4267
Sabah,Papar,Papar,5.6987,115.977
Sabah,Papar,Papar,5.5986,115.9327
Sabah,Papar,Papar,5.7267,116.0903
Sabah,Papar,Papar,5.8111,116.0289
Sabah,Papar,Papar,5.7346,115.9307
Sabah,Papar,Papar,5.7308,115.9353
Sabah,Penampang,Penampang,5.9167,116.0701
Sabah,Penampang,Penampang,5.8764,116.101
Sabah,Penampang,Penampang,5.9324,116.1313
Sabah,Penampang,Penampang,5.9137,116.1085
Sabah,Penampang,Penampang,5.9146,116.099
Sabah,Pitas,Pitas,6.733,117.053
Sabah,Pitas,Pitas,6.7144,117.049
Sabah,Pitas,Pitas,6.708,117.0681
Sabah,Pitas,Pitas,6.7028,117.0441
Sabah,Pitas,Pitas,6.7036,117.0309
Sabah,Pitas,Pitas,6.7116,117.033
Sabah,Putatan,Putatan,5.885,116.05
Sabah,Putatan,Putatan,5.8916,116.0454
Sabah,Putatan,Putatan,5.8979,116.0457
Sabah,Putatan,Putatan,5.8932,116.0427
Sabah,Putatan,Putatan,5.897,116.0416
Sabah,Putatan,Putatan,5.8962,116.0403
Sabah,Ranau,Ranau,6.0171,116.7419
Sabah,Ranau,Ranau,5.9755,116.8257
Sabah,Ranau,Ranau,5.7446,116.8161
Sabah,Ranau,Ranau,5.9366,116.6774
Sabah,Ranau,Ranau,5.9531,116.6616
Sabah,Ranau,Ranau,5.9537,116.6688
Sarawak,Asajaya,Asajaya,1.4772,110.6861
Sarawak,Asajaya,Asajaya,1.5441,110.6569
Sarawak,Asajaya,Asajaya,1.5146,110.5364
Sarawak,Asajaya,Asajaya,1.5005,110.6666
Sarawak,Asajaya,Asajaya,1.5407,110.5142
Sarawak,Asajaya,Asajaya,1.5459,110.5236
Sarawak,Bau,Bau,1.3558,110.1983
Sarawak,Bau,Bau,1.4217,110.0304
Sarawak,Bau,Bau,1.3376,109.981
Sarawak,Bau,Bau,1.4258,110.1091
Sarawak,Bau,Bau,1.4162,110.1559
Sarawak,Bau,Bau,1.4235,110.1551
Sarawak,Belaga,Belaga,3.2904,114.0719
Sarawak,Belaga,Belaga,3.1094,113.9249
Sarawak,Belaga,Belaga,2.8159,114.4426
Sarawak,Belaga,Belaga,2.9284,113.7999
Sarawak,Belaga,Belaga,3.0456,113.9158
Sarawak,Belaga,Belaga,3.0529,113.9207
Sarawak,Betong,Betong,1.4644,111.6233
Sarawak,Betong,Betong,1.4105,111.6044
Sarawak,Betong,Betong,1.314,111.5763
Sarawak,Betong,Betong,1.4156,111.5138
Sarawak,Betong,Betong,1.402,111.5288
Sarawak,Betong,Betong,1.4106,111.5264
Sarawak,Bintulu,Bintulu,2.7224,113.3289
Sarawak,Bintulu,Bintulu,3.5972,113.3894
Sarawak,Bintulu,Bintulu,3.3642,113.9771
Sarawak,Bintulu,Bintulu,3.3957,113.5748
Sarawak,Bintulu,Bintulu,3.1727,113.0416
Sarawak,Bintulu,Bintulu,3.176,113.0413
Sarawak,Dalat,Dalat,2.3534,112.1557
Sarawak,Dalat,Dalat,2.6381,112.1351
Sarawak,Dalat,Dalat,2.8637,111.8398
Sarawak,Dalat,Dalat,2.4583,112.1948
Sarawak,Dalat,Dalat,2.744,111.9444
Sarawak,Dalat,Dalat,2.7405,111.939
Sarawak,Daro,Daro,2.6715,111.4317
Sarawak,Daro,Daro,2.4883,111.5189
Sarawak,Daro,Daro,2.6831,111.2937
Sarawak,Daro,Daro,2.5113,111.3493
Sarawak,Daro,Daro,2.5059,111.4502
Sarawak,Daro,Daro,2.5122,111.4323
Sarawak,Julau,Julau,1.9804,111.748
Sarawak,Julau,Julau,1.7992,111.9197
Sarawak,Julau,Julau,1.802,111.8194
Sarawak,Julau,Julau,2.0545,111.9595
Sarawak,Julau,Julau,2.025,111.9175
Sarawak,Julau,Julau,2.0287,111.912
Sarawak,Kanowit,Kanowit,1.8867,112.1411
Sarawak,Kanowit,Kanowit,2.0335,111.9956
Sarawak,Kanowit,Kanowit,2.1653,112.2826
Sarawak,Kanowit,Kanowit,2.087,112.3389
Sarawak,Kanowit,Kanowit,2.1015,112.1573
Sarawak,Kanowit,Kanowit,2.1014,112.1474
Sarawak,Kapit,Kapit,1.9737,112.8569
Sarawak,Kapit,Kapit,1.9363,113.0941
Sarawak,Kapit,Kapit,1.9109,113.576
Sarawak,Kapit,Kapit,1.6178,113.0678
Sarawak,Kapit,Kapit,2.0167,112.9414
Sarawak,Kapit,Kapit,2.0153,112.9403
Sarawak,Kuching,Kuching,1.5554,110.327
Sarawak,Kuching,Kuching,1.4576,110.3009
Sarawak,Kuching,Kuching,1.6337,110.4523
Sarawak,Kuching,Kuching,1.7208,110.3425
Sarawak,Kuching,Kuching,1.5853,110.372
Sarawak,Kuching,Kuching,1.5864,110.3535
Sarawak,Lawas,Lawas,4.491,115.4821
Sarawak,Lawas,Lawas,4.699,115.3365
Sarawak,Lawas,Lawas,4.7859,115.5329
Sarawak,Lawas,Lawas,4.9228,115.4683
Sarawak,Lawas,Lawas,4.8612,115.4101
Sarawak,Lawas,Lawas,4.8535,115.4009
Sarawak,Limbang,Limbang,4.7549,114.8559
Sarawak,Limbang,Limbang,4.627,114.825
Sarawak,Limbang,Limbang,4.4538,115.0571
Sarawak,Limbang,Limbang,4.0734,115.3149
Sarawak,Limbang,Limbang,4.7579,115.0078
Sarawak,Limbang,Limbang,4.755,115.0096
Sarawak,Lubok Antu,Lubok Antu,1.0887,111.8828
Sarawak,Lubok Antu,Lubok Antu,1.2397,111.8251
Sarawak,Lubok Antu,Lubok Antu,1.0104,111.8339
Sarawak,Lubok Antu,Lubok Antu,1.2315,111.9499
Sarawak,Lubok Antu,Lubok Antu,1.1363,111.6688
Sarawak,Lubok Antu,Lubok Antu,1.1487,111.6611
Sarawak,Lundu,Lundu,1.7497,109.7889
Sarawak,Lundu,Lundu,1.6379,109.9571
Sarawak,Lundu,Lundu,1.5425,109.8411
Sarawak,Lundu,Lundu,1.6214,110.1047
Sarawak,Lundu,Lundu,1.6713,109.854
Sarawak,Lundu,Lundu,1.6832,109.8514
Sarawak,Maradong,Maradong,2.2077,111.6266
Sarawak,Maradong,Maradong,2.2324,111.5223
Sarawak,Maradong,Maradong,2.1267,111.7701
Sarawak,Maradong,Maradong,2.067,111.7022
Sarawak,Maradong,Maradong,2.1703,111.6362
Sarawak,Maradong,Maradong,2.1686,111.6345
Sarawak,Marudi,Marudi,4.2913,114.2963
Sarawak,Marudi,Marudi,4.2458,114.4409
Sarawak,Marudi,Marudi,4.0983,114.4578
Sarawak,Marudi,Marudi,4.3356,114.2659
Sarawak,Marudi,Marudi,4.1788,114.3197
Sarawak,Marudi,Marudi,4.1783,114.3265
Sarawak,Matu,Matu,2.7948,111.6835
Sarawak,Matu,Matu,2.672,111.5627
Sarawak,Matu,Matu,2.6377,111.5187
Sarawak,Matu,Matu,2.7382,111.6362
Sarawak,Matu,Matu,2.7158,111.5659
Sarawak,Matu,Matu,2.6697,111.5398
Sarawak,Miri,Miri,3.6056,113.8107
Sarawak,Miri,Miri,3.7495,113.7874
Sarawak,Miri,Miri,4.5411,114.1185
Sarawak,Miri,Miri,4.3088,114.0175
Sarawak,Miri,Miri,4.3967,113.9931
Sarawak,Miri,Miri,4.4011,113.992
Sarawak,Mukah,Mukah,2.9047,112.2649
Sarawak,Mukah,Mukah,2.8395,112.049
Sarawak,Mukah,Mukah,2.7778,112.3116
Sarawak,Mukah,Mukah,2.6077,112.2148
Sarawak,Mukah,Mukah,2.8973,112.0893
Sarawak,Mukah,Mukah,2.8949,112.0915
Sarawak,Padawan,Padawan,1.4261,110.3249
Sarawak,Padawan,Padawan,1.4241,110.3267
Sarawak,Padawan,Padawan,1.4289,110.3276
Sarawak,Padawan,Padawan,1.4254,110.3273
Sarawak,Padawan,Padawan,1.4274,110.3257
Sarawak,Padawan,Padawan,1.425,110.3265
Sarawak,Pakan,Pakan,1.7615,111.6857
Sarawak,Pakan,Pakan,1.8603,111.7081
Sarawak,Pakan,Pakan,1.9042,111.5955
Sarawak,Pakan,Pakan,1.9708,111.6848
Sarawak,Pakan,Pakan,1.8952,111.6804
Sarawak,Pakan,Pakan,1.8941,111.6798
Sarawak,Samarahan,Samarahan,1.4381,110.4571
Sarawak,Samarahan,Samarahan,1.4893,110.4073
Sarawak,Samarahan,Samarahan,1.4605,110.6323
Sarawak,Samarahan,Samarahan,1.3823,110.4359
Sarawak,Samarahan,Samarahan,1.4598,110.4955
Sarawak,Samarahan,Samarahan,1.4592,110.477
Sarawak,Saratok,Saratok,1.7486,111.3362
Sarawak,Saratok,Saratok,1.7513,111.3026
Sarawak,Saratok,Saratok,1.7159,111.3008
Sarawak,Saratok,Saratok,1.7913,111.3121
Sarawak,Saratok,Saratok,1.7384,111.3377
Sarawak,Saratok,Saratok,1.753,111.3414
Sarawak,Sarikei,Sarikei,2.1179,111.5693
Sarawak,Sarikei,Sarikei,2.0315,111.5108
Sarawak,Sarikei,Sarikei,2.0919,111.3727
Sarawak,Sarikei,Sarikei,2.1192,111.528
Sarawak,Sarikei,Sarikei,2.1312,111.5221
Sarawak,Sarikei,Sarikei,2.1304,111.5247
Sarawak,Selagau,Selangau,2.5243,112.325
Sarawak,Selagau,Selangau,2.5225,112.3261
Sarawak,Selagau,Selangau,2.5231,112.327
Sarawak,Selagau,Selangau,2.5251,112.3256
Sarawak,Selagau,Selangau,2.5232,112.3258
Sarawak,Selagau,Selangau,2.5246,112.3262
Sarawak,Serian,Serian,1.2155,110.5741
Sarawak,Serian,Serian,1.164,110.6538
Sarawak,Serian,Serian,1.2628,110.5391
Sarawak,Serian,Serian,1.0507,110.5796
Sarawak,Serian,Serian,1.1672,110.5664
Sarawak,Serian,Serian,1.1731,110.5672
Sarawak,Sibu,Sibu,2.3027,111.8864
Sarawak,Sibu,Sibu,2.3315,111.6969
Sarawak,Sibu,Sibu,2.4632,111.8946
Sarawak,Sibu,Sibu,2.1284,111.9029
Sarawak,Sibu,Sibu,2.2931,111.842
Sarawak,Sibu,Sibu,2.2956,111.824
Sarawak,Simunjan,Simunjan,1.0871,110.8881
Sarawak,Simunjan,Simunjan,1.0823,110.9633
Sarawak,Simunjan,Simunjan,1.1973,110.9248
Sarawak,Simunjan,Simunjan,1.2381,110.7714
Sarawak,Simunjan,Simunjan,1.186,110.9033
Sarawak,Simunjan,Simunjan,1.1246,110.9326
Sarawak,Song,Song,1.7051,112.7747
Sarawak,Song,Song,1.8396,112.7143
Sarawak,Song,Song,2.0002,112.5413
Sarawak,Song,Song,1.6475,112.6978
Sarawak,Song,Song,2.0005,112.549
Sarawak,Song,Song,2.0075,112.5482
Sarawak,Sri Aman,Sri Aman,1.1862,111.4494
Sarawak,Sri Aman,Sri Aman,1.2713,111.3821
Sarawak,Sri Aman,Sri Aman,1.2967,111.4906
Sarawak,Sri Aman,Sri Aman,1.2027,111.5146
Sarawak,Sri Aman,Sri Aman,1.2307,111.4561
Sarawak,Sri Aman,Sri Aman,1.2341,111.4634
Sarawak,Tatau,Tatau,2.8711,112.8515
Sarawak,Tatau,Tatau,2.8888,112.8486
Sarawak,Tatau,Tatau,2.9105,112.8581
Sarawak,Tatau,Tatau,3.0045,112.8478
Sarawak,Tatau,Tatau,2.8804,112.8545
Sarawak,Tatau,Tatau,2.8779,112.8506
Kedah,Kubang Pasu,Sintok,6.4576,100.503
Kedah,Kubang Pasu,Sintok,6.446,100.486
Kedah,Kubang Pasu,Sintok,6.44,100.531
Kedah,Kubang Pasu,Sintok,6.442,100.479
Kedah,Kubang Pasu,Sintok,6.425,100.498
Kedah ,Kubang Pasu,Sintok,6.467,100.538
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.5,100.411
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.516,100.4352
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.5,100.228
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.515,100.3938
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.495,100.3983
Kedah,Kubang Pasu,Bukit Kayu Hitam,6.513,100.445
